## Measurements of the probability distribution function of specific black hole accretion rates, p(log lambda_{sBHAR} | M_*,z),
## for All galaxies as a function of stellar mass and redshift.
## Taken from Aird et al. 2017b, MNRAS(in press), arXiv:1705.01132 (see Figure 2)
## Column description:
## z_lo, z_hi  - lower and upper limit of redshift bin
## mass_lo, mass_hi - lower and	upper limit of stellar mass bin	in log (Mstel/Msun)
## logl	- value	of log(specific black hole accretion rate) - see Equation 2 of Aird+17b
## p(median), p_lolim(90%CL), p_uplim(90%CL) - estimates of p(log lambda) (per unit dex), giving the median and 90% upper and lower
##                                             central confidence limits based on posterior distribution.
## flag	- 1 indicates reliable	measurement, 0 indicates potential for significant contamination by star formation thus unreliable.
##
#     z_lo      z_hi   mass_lo   mass_hi      logl      p(median)       p_lolim(90%CL)   p_uplim(90%CL)      flag
      0.50      1.00      8.50      9.00      2.84       8.11E-07       2.75E-08       1.41E-05   1
      0.50      1.00      8.50      9.00      2.92       3.31E-07       1.11E-08       5.82E-06   1
      0.10      0.50      8.50      9.00     -5.00       1.39E-02       8.27E-04       8.67E-02   0
      0.10      0.50      8.50      9.00     -4.92       2.04E-02       1.22E-03       1.26E-01   0
      0.10      0.50      8.50      9.00     -4.84       2.90E-02       1.74E-03       1.74E-01   0
      0.10      0.50      8.50      9.00     -4.76       3.97E-02       2.47E-03       2.34E-01   0
      0.10      0.50      8.50      9.00     -4.68       5.19E-02       3.28E-03       2.98E-01   0
      0.10      0.50      8.50      9.00     -4.60       6.42E-02       4.23E-03       3.57E-01   0
      0.10      0.50      8.50      9.00     -4.52       7.65E-02       5.11E-03       4.13E-01   0
      0.10      0.50      8.50      9.00     -4.44       8.60E-02       5.99E-03       4.33E-01   0
      0.10      0.50      8.50      9.00     -4.36       9.07E-02       6.64E-03       4.28E-01   0
      0.10      0.50      8.50      9.00     -4.28       8.81E-02       7.54E-03       4.04E-01   0
      0.10      0.50      8.50      9.00     -4.20       8.21E-02       7.41E-03       3.64E-01   0
      0.10      0.50      8.50      9.00     -4.12       7.64E-02       7.35E-03       3.21E-01   0
      0.10      0.50      8.50      9.00     -4.04       6.75E-02       6.86E-03       2.80E-01   0
      0.10      0.50      8.50      9.00     -3.96       5.93E-02       6.56E-03       2.47E-01   0
      0.10      0.50      8.50      9.00     -3.88       5.06E-02       6.38E-03       2.15E-01   0
      0.10      0.50      8.50      9.00     -3.80       4.34E-02       5.76E-03       1.88E-01   0
      0.10      0.50      8.50      9.00     -3.72       3.67E-02       5.05E-03       1.62E-01   0
      0.10      0.50      8.50      9.00     -3.64       3.05E-02       4.41E-03       1.37E-01   0
      0.10      0.50      8.50      9.00     -3.56       2.56E-02       3.89E-03       1.14E-01   0
      0.10      0.50      8.50      9.00     -3.48       2.18E-02       3.43E-03       9.99E-02   0
      0.10      0.50      8.50      9.00     -3.40       1.82E-02       2.99E-03       8.44E-02   0
      0.10      0.50      8.50      9.00     -3.32       1.52E-02       2.64E-03       7.00E-02   0
      0.10      0.50      8.50      9.00     -3.24       1.28E-02       2.32E-03       6.16E-02   0
      0.10      0.50      8.50      9.00     -3.16       1.10E-02       2.01E-03       5.37E-02   0
      0.10      0.50      8.50      9.00     -3.08       9.26E-03       1.79E-03       4.74E-02   1
      0.10      0.50      8.50      9.00     -3.00       8.00E-03       1.49E-03       4.01E-02   1
      0.10      0.50      8.50      9.00     -2.92       6.87E-03       1.28E-03       3.44E-02   1
      0.10      0.50      8.50      9.00     -2.84       6.05E-03       1.13E-03       2.97E-02   1
      0.10      0.50      8.50      9.00     -2.76       5.21E-03       1.01E-03       2.60E-02   1
      0.10      0.50      8.50      9.00     -2.68       4.56E-03       8.75E-04       2.24E-02   1
      0.10      0.50      8.50      9.00     -2.60       3.97E-03       7.84E-04       1.92E-02   1
      0.10      0.50      8.50      9.00     -2.52       3.49E-03       7.21E-04       1.64E-02   1
      0.10      0.50      8.50      9.00     -2.44       3.11E-03       6.68E-04       1.45E-02   1
      0.10      0.50      8.50      9.00     -2.36       2.81E-03       6.07E-04       1.30E-02   1
      0.10      0.50      8.50      9.00     -2.28       2.57E-03       5.44E-04       1.13E-02   1
      0.10      0.50      8.50      9.00     -2.20       2.40E-03       5.31E-04       9.80E-03   1
      0.10      0.50      8.50      9.00     -2.12       2.25E-03       5.42E-04       8.33E-03   1
      0.10      0.50      8.50      9.00     -2.04       2.14E-03       5.44E-04       7.49E-03   1
      0.10      0.50      8.50      9.00     -1.96       2.11E-03       5.74E-04       6.87E-03   1
      0.10      0.50      8.50      9.00     -1.88       2.09E-03       6.06E-04       6.30E-03   1
      0.10      0.50      8.50      9.00     -1.80       2.07E-03       6.40E-04       5.79E-03   1
      0.10      0.50      8.50      9.00     -1.72       2.12E-03       7.10E-04       5.55E-03   1
      0.10      0.50      8.50      9.00     -1.64       2.18E-03       7.97E-04       5.47E-03   1
      0.10      0.50      8.50      9.00     -1.56       2.28E-03       8.93E-04       5.43E-03   1
      0.10      0.50      8.50      9.00     -1.48       2.41E-03       9.91E-04       5.40E-03   1
      0.10      0.50      8.50      9.00     -1.40       2.56E-03       1.11E-03       5.48E-03   1
      0.10      0.50      8.50      9.00     -1.32       2.71E-03       1.23E-03       5.35E-03   1
      0.10      0.50      8.50      9.00     -1.24       2.78E-03       1.27E-03       5.43E-03   1
      0.10      0.50      8.50      9.00     -1.16       2.83E-03       1.33E-03       5.26E-03   1
      0.10      0.50      8.50      9.00     -1.08       2.83E-03       1.37E-03       4.97E-03   1
      0.10      0.50      8.50      9.00     -1.00       2.76E-03       1.36E-03       4.73E-03   1
      0.10      0.50      8.50      9.00     -0.92       2.63E-03       1.31E-03       4.41E-03   1
      0.10      0.50      8.50      9.00     -0.84       2.41E-03       1.22E-03       4.05E-03   1
      0.10      0.50      8.50      9.00     -0.76       2.18E-03       1.12E-03       3.65E-03   1
      0.10      0.50      8.50      9.00     -0.68       1.93E-03       9.87E-04       3.25E-03   1
      0.10      0.50      8.50      9.00     -0.60       1.68E-03       8.33E-04       2.84E-03   1
      0.10      0.50      8.50      9.00     -0.52       1.42E-03       6.72E-04       2.40E-03   1
      0.10      0.50      8.50      9.00     -0.44       1.15E-03       5.30E-04       2.06E-03   1
      0.10      0.50      8.50      9.00     -0.36       9.39E-04       4.21E-04       1.73E-03   1
      0.10      0.50      8.50      9.00     -0.28       7.38E-04       3.27E-04       1.46E-03   1
      0.10      0.50      8.50      9.00     -0.20       5.75E-04       2.38E-04       1.22E-03   1
      0.10      0.50      8.50      9.00     -0.12       4.40E-04       1.73E-04       1.02E-03   1
      0.10      0.50      8.50      9.00     -0.04       3.41E-04       1.23E-04       8.20E-04   1
